genome	S_alg	k	d	M_alg	kmer_count	l	o	z	r	S_xz_bytes	M_xz_bytes	enc1_xz_bytes	enc2_xz_bytes	pref
yeast	pseudosimplitigsAC	19	10	runs	11479729	11635792	11504902	130890	14486	3010328	37692	3048020	3043484	yeast.S_pseudosimplitigsAC.k_19.d_10.M_runs
yeast	pseudosimplitigsAC	19	10	zeros	11479729	11635792	11479729	156063	21961	3010328	54660	3064988	3056692	yeast.S_pseudosimplitigsAC.k_19.d_10.M_zeros
yeast	pseudosimplitigsAC	19	11	default	11479729	11662203	11479729	182474	25232	3012416	57976	3070392	3067172	yeast.S_pseudosimplitigsAC.k_19.d_11.M_default
yeast	pseudosimplitigsAC	19	11	ones	11479729	11662203	11506855	155348	18185	3012416	41372	3053788	3054384	yeast.S_pseudosimplitigsAC.k_19.d_11.M_ones
yeast	pseudosimplitigsAC	19	11	runs	11479729	11662203	11505994	156209	17672	3012416	40868	3053284	3054248	yeast.S_pseudosimplitigsAC.k_19.d_11.M_runs
yeast	pseudosimplitigsAC	19	11	zeros	11479729	11662203	11479729	182474	25338	3012416	58452	3070868	3068068	yeast.S_pseudosimplitigsAC.k_19.d_11.M_zeros
yeast	pseudosimplitigsAC	19	12	default	11479729	11680417	11479729	200688	27649	3015740	59636	3075376	3074680	yeast.S_pseudosimplitigsAC.k_19.d_12.M_default
yeast	pseudosimplitigsAC	19	12	ones	11479729	11680417	11507686	172731	20631	3015740	43148	3058888	3062392	yeast.S_pseudosimplitigsAC.k_19.d_12.M_ones
yeast	pseudosimplitigsAC	19	12	runs	11479729	11680417	11506706	173711	20039	3015740	42672	3058412	3062080	yeast.S_pseudosimplitigsAC.k_19.d_12.M_runs
yeast	pseudosimplitigsAC	19	12	zeros	11479729	11680417	11479729	200688	27748	3015740	60068	3075808	3075720	yeast.S_pseudosimplitigsAC.k_19.d_12.M_zeros
yeast	pseudosimplitigsAC	19	2	default	11479729	11634506	11479729	154777	12521	3005168	32680	3037848	3036908	yeast.S_pseudosimplitigsAC.k_19.d_2.M_default
yeast	pseudosimplitigsAC	19	2	ones	11479729	11634506	11493831	140675	9757	3005168	26360	3031528	3033408	yeast.S_pseudosimplitigsAC.k_19.d_2.M_ones
yeast	pseudosimplitigsAC	19	2	runs	11479729	11634506	11491950	142556	8849	3005168	24808	3029976	3032012	yeast.S_pseudosimplitigsAC.k_19.d_2.M_runs
yeast	pseudosimplitigsAC	19	2	zeros	11479729	11634506	11479729	154777	12899	3005168	33876	3039044	3037888	yeast.S_pseudosimplitigsAC.k_19.d_2.M_zeros
yeast	pseudosimplitigsAC	19	3	default	11479729	11606078	11479729	126349	13028	2998624	35088	3033712	3031516	yeast.S_pseudosimplitigsAC.k_19.d_3.M_default
